season,team_a,team_b,team_a_seed,team_b_seed,score_a,score_b,winner
2003,UNC Asheville,Texas Southern,16,16,92,84,1
2003,Arizona,Vermont,1,16,80,51,1
2003,Arizona St.,Memphis,10,7,84,71,1
2003,Central Michigan,Creighton,11,6,79,73,1
2003,California,NC State,8,9,76,74,1
2003,Connecticut,BYU,5,12,58,53,1
2003,Duke,Colorado St.,3,14,67,57,1
2003,Gonzaga,Cincinnati,9,8,74,69,1
2003,Illinois,Western Kentucky,4,13,65,60,1
2003,Kansas,Utah St.,2,15,64,61,1
2003,Marquette,Holy Cross,3,14,72,68,1
2003,Missouri,Southern Illinois,6,11,72,71,1
2003,Notre Dame,Wisconsin Milwaukee,5,12,70,69,1
2003,Oklahoma,South Carolina St.,1,16,71,54,1
2003,Stanford,San Diego,4,13,77,69,1
2003,Tulsa,Dayton,13,4,84,71,1
2003,Wisconsin,Weber St.,5,12,81,74,1
2003,Auburn,St. Joseph's,10,7,65,63,1
2003,Butler,Mississippi St.,12,5,47,46,1
2003,Florida,Sam Houston St.,2,15,85,55,1
2003,Indiana,Alabama,7,10,67,62,1
2003,Kentucky,IUPUI,1,16,95,64,1
2003,Louisville,Austin Peay,4,13,86,64,1
2003,Maryland,UNC Wilmington,6,11,75,73,1
2003,Michigan St.,Colorado,7,10,79,64,1
2003,Oklahoma St.,Penn,6,11,77,63,1
2003,Pittsburgh,Wagner,2,15,87,61,1
2003,Purdue,LSU,9,8,80,56,1
2003,Syracuse,Manhattan,3,14,76,65,1
2003,Texas,UNC Asheville,1,16,82,61,1
2003,Utah,Oregon,9,8,60,58,1
2003,Wake Forest,East Tennessee St.,2,15,76,73,1
2003,Xavier,Troy,3,14,71,59,1
2003,Arizona,Gonzaga,1,9,96,95,1
2003,Connecticut,Stanford,5,4,85,74,1
2003,Duke,Central Michigan,3,11,86,60,1
2003,Kansas,Arizona St.,2,10,108,76,1
2003,Marquette,Missouri,3,6,101,92,1
2003,Notre Dame,Illinois,5,4,68,60,1
2003,Oklahoma,California,1,8,74,65,1
