team,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential
Abilene Christian,102.181,107.448,66.9733,-5.26775,-5.266999999999996
Air Force,96.5754,116.147,65.9718,-19.5714,-19.571600000000004
Akron,121.008,107.936,70.6866,13.0719,13.071999999999989
Alabama,129.533,102.943,73.0985,26.5906,26.58999999999999
Alabama A&M,103.849,116.382,65.2286,-12.533,-12.533000000000001
Alabama St.,101.465,114.359,69.3087,-12.8942,-12.893999999999991
Albany,103.841,118.217,65.1762,-14.3755,-14.376000000000005
Alcorn St.,98.8275,117.944,67.0112,-19.1164,-19.116500000000002
American,105.251,111.706,66.7076,-6.45447,-6.454999999999998
Appalachian St.,106.143,107.672,62.8032,-1.52906,-1.5289999999999964
Arizona,126.818,89.6871,70.065,37.1308,37.1309
Arizona St.,117.367,104.913,68.72,12.4545,12.454000000000008
Arkansas,127.968,102.488,70.8133,25.4799,25.480000000000004
Arkansas Pine Bluff,103.099,118.025,68.7594,-14.9258,-14.926000000000002
Arkansas St.,111.13,109.425,72.187,1.70527,1.7049999999999983
Army,101.199,119.37,67.0033,-18.1715,-18.171000000000006
Auburn,125.648,106.919,67.0916,18.7286,18.729
Austin Peay,108.479,108.349,69.5024,0.129816,0.12999999999999545
Ball St.,98.1055,110.687,63.4568,-12.5815,-12.581499999999991
Baylor,122.37,106.894,67.7025,15.4762,15.475999999999999
Bellarmine,116.384,125.768,64.5746,-9.38347,-9.384
Belmont,121.218,106.777,68.9041,14.4412,14.441000000000003
Bethune Cookman,103.648,109.302,69.1028,-5.65396,-5.654000000000011
Binghamton,97.7692,123.157,65.2056,-25.3873,-25.3878
Boise St.,116.845,103.464,65.3677,13.3814,13.381
Boston College,104.251,103.733,65.3877,0.517822,0.5180000000000007
Boston University,111.799,119.653,63.1713,-7.8542,-7.853999999999999
Bowling Green,107.258,105.995,68.0905,1.2629,1.262999999999991
Bradley,111.534,107.926,67.0725,3.60859,3.608000000000004
Brown,98.608,108.59,66.304,-9.98239,-9.982
Bryant,96.4744,118.914,64.3285,-22.4397,-22.4396
Bucknell,98.177,115.873,66.8348,-17.6964,-17.695999999999998
Buffalo,112.889,115.484,66.4835,-2.59478,-2.594999999999999
Butler,117.271,107.055,68.2512,10.2164,10.215999999999994
BYU,125.918,102.565,69.8955,23.353,23.35300000000001
Cal Baptist,107.854,103.401,65.2084,4.45289,4.453000000000003
Cal Poly,109.063,113.036,73.6357,-3.97333,-3.972999999999999
Cal St. Bakersfield,101.939,117.193,69.7328,-15.254,-15.254000000000005
Cal St. Fullerton,110.527,111.334,72.4926,-0.806714,-0.8070000000000022
California,114.085,102.8,67.5979,11.2855,11.284999999999997
Campbell,110.552,112.97,69.3487,-2.41797,-2.417999999999992
Canisius,95.1133,114.473,64.1492,-19.3593,-19.359700000000004
Central Arkansas,110.347,109.355,67.8197,0.992236,0.9919999999999902
Central Connecticut,105.258,117.39,65.1,-12.1325,-12.132000000000005
Central Michigan,106.592,114.815,66.9607,-8.2232,-8.222999999999999
Charleston,107.92,107.053,67.7383,0.867363,0.8670000000000044
