team,season,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential,seed
Kentucky,1997,117.272,82.8313,73.0607,34.4407,34.44070000000001,
Kansas,1997,118.577,86.9211,72.6723,31.6559,31.655900000000003,
Minnesota,1997,114.917,86.65,69.4668,28.2675,28.266999999999996,
North Carolina,1997,120.303,92.056,69.1118,28.2467,28.247,
Wake Forest,1997,113.725,85.9604,64.2276,27.7644,27.764599999999987,
Duke,1997,119.675,93.0687,69.6559,26.6064,26.60629999999999,
Arizona,1997,114.959,90.3484,73.179,24.6104,24.610600000000005,
Utah,1997,113.756,89.4799,66.5167,24.2765,24.2761,
Stanford,1997,115.637,91.705,69.1291,23.9322,23.932000000000002,
Cincinnati,1997,120.213,96.9381,68.7591,23.2753,23.274899999999988,
Clemson,1997,113.965,90.9867,62.2129,22.9781,22.978300000000004,
Maryland,1997,109.022,87.9195,73.9559,21.1021,21.102500000000006,
Iowa,1997,116.271,95.2111,65.3836,21.0596,21.0599,
California,1997,108.771,87.9709,69.0694,20.7996,20.8001,
UCLA,1997,115.31,94.8271,69.9647,20.4829,20.4829,
Villanova,1997,114.373,93.995,67.8596,20.3776,20.378,
Tulsa,1997,108.423,88.2393,68.3508,20.1839,20.1837,
Michigan,1997,114.277,94.1897,67.754,20.0872,20.0873,
Temple,1997,113.135,93.4902,60.0724,19.6446,19.644800000000004,
Rhode Island,1997,115.734,96.3759,71.7575,19.3586,19.358099999999993,
Illinois,1997,114.2,95.2511,68.9994,18.9489,18.94890000000001,
Florida St.,1997,112.286,93.4234,68.6143,18.8623,18.8626,
Xavier,1997,113.048,94.2481,73.8119,18.7994,18.799900000000008,
St. Joseph's,1997,112.109,93.7879,66.5803,18.3211,18.3211,
Providence,1997,111.329,93.2773,70.1014,18.0518,18.051699999999997,
NC State,1997,105.019,87.1183,59.5883,17.9006,17.9007,
New Mexico,1997,113.961,96.205,64.7533,17.7563,17.756,
South Carolina,1997,114.673,97.1055,67.0261,17.5676,17.567499999999995,
Iowa St.,1997,108.409,91.2396,62.9159,17.1697,17.16940000000001,
West Virginia,1997,113.982,96.872,72.3905,17.1104,17.11,
Virginia,1997,112.44,95.4145,64.5751,17.0251,17.025499999999994,
Indiana,1997,112.819,96.185,68.5635,16.6343,16.634,
Oklahoma,1997,111.271,94.7757,66.4365,16.4958,16.4953,
Oregon,1997,109.533,93.3036,70.6029,16.2292,16.2294,
Wisconsin,1997,101.892,85.6698,62.1192,16.2227,16.2222,
Georgia,1997,112.665,96.9871,65.8911,15.6782,15.677900000000008,
Marquette,1997,106.44,90.8222,66.2355,15.6183,15.617800000000003,
Texas Tech,1997,115.029,99.4741,70.2912,15.555,15.55489999999999,
Princeton,1997,112.883,97.5854,57.8292,15.2979,15.297599999999989,
Boston College,1997,114.613,99.4842,66.7434,15.1289,15.128799999999998,
Purdue,1997,109.436,94.6424,69.4394,14.7941,14.793600000000012,
Illinois St.,1997,108.233,93.5983,69.7208,14.6343,14.63470000000001,
USC,1997,108.988,94.4838,75.2552,14.5039,14.504199999999997,
Texas,1997,108.874,94.5459,71.9943,14.3277,14.328099999999992,
Syracuse,1997,108.759,94.5355,70.1813,14.2232,14.223500000000001,
Massachusetts,1997,109.522,95.4578,64.3388,14.0641,14.0642,
UNC Charlotte,1997,110.457,96.644,67.2486,13.8135,13.812999999999988,
Pacific,1997,108.937,95.2033,63.6834,13.7335,13.733699999999999,
Louisville,1997,111.365,97.798,68.3507,13.5673,13.566999999999993,
Michigan St.,1997,108.226,94.8372,67.4334,13.3884,13.388800000000003,
George Washington,1997,102.904,89.638,67.4975,13.2659,13.265999999999991,
Connecticut,1997,102.269,89.0107,65.2412,13.2579,13.258300000000006,
Georgetown,1997,102.142,89.0882,71.0904,13.0542,13.053799999999995,
TCU,1997,112.503,99.7672,76.4419,12.7356,12.735799999999998,
Colorado,1997,104.883,92.2399,71.1098,12.6427,12.64309999999999,
Arkansas,1997,107.21,94.5684,73.9551,12.6413,12.641599999999997,
Miami OH,1997,108.362,95.9261,66.0562,12.4356,12.43589999999999,
Vanderbilt,1997,107.877,95.6851,67.1585,12.1917,12.19189999999999,
Mississippi,1997,106.514,94.5593,66.0582,11.9546,11.954700000000003,
Nebraska,1997,107.654,96.1749,68.8109,11.479,11.479100000000003,
Washington,1997,106.597,95.2091,71.8015,11.3879,11.387899999999988,
Bradley,1997,103.692,92.3281,62.6259,11.3639,11.363899999999987,
Bowling Green,1997,109.048,97.9436,72.3864,11.104,11.104399999999998,
Notre Dame,1997,103.992,92.9216,70.2292,11.0709,11.070400000000006,
Butler,1997,103.767,92.7326,65.7427,11.0346,11.03439999999999,
Oral Roberts,1997,106.692,95.7841,69.2783,10.9082,10.907899999999998,
Pittsburgh,1997,103.899,93.0234,70.5481,10.8756,10.875600000000006,
Tulane,1997,105.955,95.4939,71.1519,10.4614,10.461100000000002,
Georgia Tech,1997,105.901,95.7798,63.89,10.1213,10.121200000000002,
St. John's,1997,104.695,94.7991,66.6867,9.89579,9.895899999999997,
Miami FL,1997,101.547,91.8259,66.3359,9.72104,9.721099999999993,
Drexel,1997,107.165,97.4622,66.5894,9.70235,9.70280000000001,
Missouri,1997,107.953,98.3055,69.9988,9.6473,9.647500000000008,
Southwest Missouri St.,1997,110.109,100.549,70.0904,9.56087,9.559999999999988,
