kenpom_name,recent_efg_pct,recent_ts_pct,recent_3par,recent_ftr,recent_off_efg,recent_off_tov_pct,recent_orb_pct,recent_ftm_rate,recent_def_efg,recent_def_tov_pct,recent_avg_margin,recent_margin_trend,recent_win_pct,recent_pct_blowout_wins,recent_pct_close_losses,n_games,recent_win_pct_30d,recent_win_pct_60d,window_used,rank_trend_30d,rank_trend_60d,consensus_rank,rank_disagreement,momentum_score,conf_tourney_wins,conf_tourney_win_pct,conf_tourney_avg_margin,won_conf_tourney,kenpom_adj_em
Akron,0.5961771087309881,0.648939622120302,0.45555011320097527,0.41668807326134916,0.5961771087309881,0.09025494384165011,0.3199706210243295,0.34941041158713576,0.5376837190197559,0.07616086557204765,14.6,2.7,1.0,0.4,0.0,5,1.0,0.9166666666666666,30,-1.0,-13.666666666666666,60.666666666666664,5.734883511361751,-1.0,0.0,0.0,0.0,0.0,13.0719
Alabama,0.5848019149379032,0.6300139288241332,0.5396534378685909,0.3995125927981683,0.5848019149379032,0.06559503725311097,0.3004079418977551,0.3124765836397697,0.4823164333664695,0.07578470533420502,10.0,-0.1,1.0,0.2,0.0,5,1.0,0.8333333333333334,30,0.0,-9.0,20.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,26.5906
Arizona,0.4958728310623802,0.5559605490547566,0.2879754364487971,0.44889982967851816,0.4958728310623802,0.07741780079908143,0.3431091956970384,0.3399457100276772,0.4676577503929929,0.0467635408636255,8.2,-0.4,0.8,0.25,1.0,5,0.8,0.8461538461538461,30,-1.0,-1.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,37.1308
Arkansas,0.5527203838181792,0.5958210147418818,0.27461332637590413,0.34036416344160836,0.5527203838181792,0.07659006237572265,0.3059276850836953,0.2655970778797235,0.5848198667771137,0.03760118744913982,0.0,-10.4,0.6,0.3333333333333333,0.5,5,0.6,0.6923076923076923,30,5.0,3.6666666666666665,19.666666666666668,2.0548046676563256,5.0,0.0,0.0,0.0,0.0,25.4799
Arkansas St.,0.5477906278309504,0.59913891071285,0.4591415573673638,0.5381397455591005,0.5477906278309504,0.06080120549957609,0.37150775747549947,0.3861211548308322,0.471545132337441,0.10327675165379605,9.8,-2.7,0.8,0.5,1.0,5,0.8,0.5714285714285714,30,1.3333333333333333,-4.333333333333333,148.33333333333334,9.741092797468305,1.3333333333333333,0.0,0.0,0.0,0.0,1.70527
Auburn,0.5034739829645132,0.5634039066006533,0.36855280816470887,0.4457945608387769,0.5034739829645132,0.0763282777945759,0.38598443223443224,0.34437092271756264,0.5981911028526912,0.09477379216104513,-7.2,-1.2999999999999998,0.2,0.0,0.0,5,0.2,0.38461538461538464,30,-2.0,2.0,34.333333333333336,1.247219128924647,-2.0,0.0,0.0,0.0,0.0,18.7286
Ball St.,0.47294106914796574,0.5134619209966225,0.41226600985221673,0.2862196679438059,0.47294106914796574,0.09466126382896585,0.25338799812124024,0.20698595146871007,0.4556179099480248,0.08115130980836467,1.0,-7.6000000000000005,0.4,0.5,0.0,5,0.4,0.5,30,-4.333333333333333,-0.3333333333333333,316.3333333333333,10.873004286866726,-4.333333333333333,0.0,0.0,0.0,0.0,-12.5815
Baylor,0.5103069214974124,0.5543955816065921,0.37070897426767313,0.35091683283482883,0.5103069214974124,0.0744879317422132,0.31690827765878476,0.25681734558230074,0.5844480874316941,0.08987349553286372,-5.6,-4.1000000000000005,0.4,0.0,0.0,5,0.4,0.3076923076923077,30,-3.6666666666666665,-11.333333333333334,47.333333333333336,1.699673171197595,-3.6666666666666665,0.0,0.0,0.0,0.0,15.4762
Belmont,0.6301081340722381,0.6548024360525169,0.4860680700703312,0.25485852421974525,0.6301081340722381,0.09682622136691366,0.24496085290687986,0.1936310533257961,0.5191855265827381,0.07964145321755947,15.25,-5.5,0.75,1.0,0.0,4,0.75,0.8333333333333334,30,3.3333333333333335,20.333333333333332,56.666666666666664,3.7712361663282534,3.3333333333333335,0.0,0.0,-7.0,0.0,14.4412
Bowling Green,0.5142818596098497,0.5632253825163136,0.3743388517063365,0.43060541253597695,0.5142818596098497,0.07530219838968841,0.24111143758202586,0.30825457421535934,0.5193088344641696,0.08317574984926665,-0.2,-7.1000000000000005,0.4,0.5,0.0,5,0.4,0.46153846153846156,30,4.333333333333333,-38.0,139.66666666666666,9.877021593352701,4.333333333333333,0.0,0.0,0.0,0.0,1.2629
Bucknell,0.5102608011432506,0.5411959470289108,0.3754155073608326,0.2340525976261351,0.5102608011432506,0.10966813227869776,0.25449462365591397,0.1731739378212861,0.557276782170358,0.09267100044103566,-9.6,-1.9999999999999998,0.2,0.0,0.0,5,0.2,0.2857142857142857,30,-9.666666666666666,-16.333333333333332,334.6666666666667,1.247219128924647,-9.666666666666666,0.0,0.0,0.0,0.0,-17.6964
Buffalo,0.5280752546120622,0.571606186839027,0.43355491843981603,0.3788625141711406,0.5280752546120622,0.12307323856149285,0.22112017467968526,0.279846061594101,0.5971708463949844,0.08416124201438627,-4.25,-3.9,0.25,0.0,0.6666666666666666,4,0.25,0.25,30,3.6666666666666665,-29.0,194.66666666666666,7.586537784494028,3.6666666666666665,0.0,0.0,0.0,0.0,-2.59478
BYU,0.5243177773702346,0.569506007095054,0.3928658649535109,0.3420825373186139,0.5243177773702346,0.07831822040407448,0.24897186147186146,0.2636346684877087,0.5390625,0.08050627682227315,-2.8,-4.699999999999999,0.4,0.0,0.0,5,0.4,0.38461538461538464,30,1.0,-9.333333333333334,18.666666666666668,2.0548046676563256,1.0,0.0,0.0,0.0,0.0,23.353
Michigan,0.5558008637864205,0.5926978640410896,0.334021979080963,0.3979304012670844,0.5558008637864205,0.1225676848239253,0.29799442865804415,0.28005488754764263,0.4741380739935077,0.09524845854218365,9.2,-11.3,0.6,0.3333333333333333,0.5,5,0.6,0.45454545454545453,30,22.333333333333332,54.0,277.6666666666667,4.642796092394707,22.333333333333332,0.0,0.0,0.0,0.0,39.4097
California,0.5118182743182743,0.5492783952260174,0.4623626373626374,0.25544363044363044,0.5118182743182743,0.0852236041114715,0.22958152958152958,0.20025437525437523,0.5010146103896104,0.08052156554708467,1.25,-8.3,0.75,0.0,0.0,4,0.75,0.5833333333333334,30,5.0,6.333333333333333,62.0,2.943920288775949,5.0,0.0,0.0,0.0,0.0,11.2855
Charlotte,0.5740529510368023,0.6058694440364297,0.4805483906861882,0.3085384025432195,0.5740529510368023,0.06505881421584217,0.2634469696969697,0.2347871417615169,0.5127857413054782,0.08924761256784207,-0.4,-3.1999999999999997,0.4,0.0,0.6666666666666666,5,0.4,0.5,30,-10.0,-8.333333333333334,182.33333333333334,3.39934634239519,-10.0,0.0,0.0,-1.0,0.0,-1.74337
