team,kenpom_name,seed,region,momentum_flag,adj_off_eff,adj_def_eff,adj_tempo,adj_em,momentum_score,recent_margin_trend,recent_efg_pct,recent_def_efg,recent_win_pct_30d,conf_tourney_avg_margin,conf_tourney_wins,won_conf_tourney,consensus_rank,rank_disagreement,has_momentum_data
Duke,Duke,1,East,FLAT,127.694,88.0769,65.3911,39.6167,1.0,3.3000000000000003,0.5824033043646458,0.4274710961553067,1.0,0.0,0.0,0.0,2.0,0.0,True
Siena,Siena,16,East,ICY,107.42,110.551,64.5326,-3.13066,-11.0,-4.714285714285714,0.4831991763333783,0.4734909595565333,0.5,15.0,1.0,0.0,189.0,6.97614984548545,True
Ohio State,Ohio St.,8,East,ICY,122.252,102.992,66.2325,19.2597,4.0,-8.200000000000001,0.5455006173371235,0.5185436790240251,0.4,8.0,1.0,0.0,37.333333333333336,1.247219128924647,True
TCU,TCU,9,East,FLAT,113.582,97.9501,67.7535,15.6318,4.333333333333333,-2.5,0.4701920566558589,0.5353262276570547,0.8,0.0,0.0,0.0,47.66666666666666,1.699673171197595,True
St. John's,St. John's,5,East,ICY,119.609,94.7812,69.7755,24.8278,-2.333333333333333,-5.800000000000001,0.4518148629340562,0.4386127876227327,0.8,0.0,0.0,0.0,19.0,4.96655480858378,True
Northern Iowa,Northern Iowa,12,East,WARM,108.001,98.5013,62.0806,9.49938,15.333333333333334,-7.5,0.5927997108887401,0.4991009099761826,0.6,22.0,1.0,0.0,85.33333333333333,0.4714045207910317,True
Kansas,Kansas,4,East,ICY,120.251,93.9313,67.06,26.3197,-7.333333333333333,-9.9,0.4716540810523453,0.470160679374389,0.4,0.0,0.0,0.0,19.0,0.816496580927726,True
Cal Baptist,Cal Baptist,13,East,ICY,107.854,103.401,65.2084,4.45289,-6.666666666666667,-11.3,0.4313691702956983,0.4447406231094978,0.5,0.0,0.0,0.0,129.0,12.83225103661344,True
Louisville,Louisville,6,East,ICY,124.663,98.7515,70.4518,25.9115,4.333333333333333,-5.2,0.5724819173363949,0.539871494625593,0.4,0.0,0.0,0.0,12.333333333333334,2.494438257849294,True
South Florida,South Florida,11,East,WARM,117.266,102.654,71.3529,14.6119,10.333333333333334,7.6,0.4698220448194891,0.459310332163624,1.0,28.0,1.0,0.0,53.333333333333336,1.247219128924647,True
Michigan State,Michigan St.,3,East,ICY,121.374,92.2673,65.6188,29.1066,-1.0,-8.1,0.5409625668449197,0.5205677033775505,0.8,13.0,1.0,0.0,10.666666666666666,0.9428090415820634,True
North Dakota State,North Dakota St.,14,East,FLAT,112.656,108.118,66.1918,4.53789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
UCLA,UCLA,7,East,ICY,122.248,103.701,64.6782,18.547,-2.0,-5.4,0.5206586976963768,0.5922424242424242,0.4,0.0,0.0,0.0,41.0,0.816496580927726,True
UCF,UCF,10,East,ICY,122.54,106.208,68.9853,16.3316,0.6666666666666666,-3.3000000000000003,0.5756030701754387,0.5011260656041513,0.6,0.0,0.0,0.0,48.0,1.4142135623730951,True
UConn,Connecticut,2,East,FLAT,123.381,94.1144,64.8296,29.2664,-2.6666666666666665,-2.8000000000000003,0.557129094716413,0.4765150096146259,0.8,0.0,0.0,0.0,14.0,4.96655480858378,True
Furman,Furman,15,East,ICY,106.197,109.339,65.7864,-3.14206,1.0,-9.2,0.5436700643456319,0.5042601715015509,0.6,0.0,0.0,0.0,189.66666666666663,2.867441755680876,True
Arizona,Arizona,1,West,FLAT,126.818,89.6871,70.065,37.1308,-1.0,-0.4,0.4958728310623802,0.4676577503929929,0.8,0.0,0.0,0.0,3.0,0.0,True
Long Island University,LIU,16,West,FLAT,105.528,109.183,68.0392,-3.65506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Villanova,Villanova,8,West,ICY,120.589,100.423,64.7035,20.1664,-0.3333333333333333,-9.9,0.4983866365900263,0.5476303552629425,0.6,0.0,0.0,0.0,31.666666666666668,3.858612300930076,True
Utah State,Utah St.,9,West,ICY,123.394,101.573,67.6562,21.8205,1.6666666666666667,-10.4,0.5646193006738943,0.5177792435020411,0.6,0.0,0.0,0.0,25.666666666666668,3.0912061651652345,True
Wisconsin,Wisconsin,5,West,WARM,123.701,102.719,69.2932,20.982,11.333333333333334,-10.0,0.5540243021106882,0.5384813900870993,0.6,0.0,0.0,0.0,29.33333333333333,2.0548046676563256,True
High Point,High Point,12,West,WARM,118.448,109.893,69.6711,8.55536,6.666666666666667,-8.1,0.5586219336219336,0.488128726863406,1.0,0.0,0.0,0.0,83.33333333333333,9.46337971105226,True
Arkansas,Arkansas,4,West,ICY,127.968,102.488,70.8133,25.4799,5.0,-10.4,0.5527203838181792,0.5848198667771137,0.6,0.0,0.0,0.0,19.666666666666668,2.0548046676563256,True
Hawaii,Hawaii,13,West,ICY,106.797,101.243,69.4727,5.55428,-16.666666666666668,-5.6000000000000005,0.4990668920987448,0.536181751079918,0.6,0.0,0.0,0.0,115.33333333333331,12.036980056845191,True
BYU,BYU,6,West,ICY,125.918,102.565,69.8955,23.353,1.0,-4.699999999999999,0.5243177773702346,0.5390625,0.4,0.0,0.0,0.0,18.666666666666668,2.0548046676563256,True
