Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2026,Abilene Christian,68.5859,176,66.9733,197,99.236,332,102.181,302,106.306,127,107.448,130,-5.26775,228
2026,Air Force,67.3103,233,65.9718,253,92.4134,363,96.5754,348,118.807,354,116.147,307,-19.5714,346
2026,Akron,71.6963,35,70.6866,25,123.033,3,121.008,38,105.957,111,107.936,143,13.0719,61
2026,Alabama,74.7675,4,73.0985,3,122.181,8,129.533,3,110.177,228,102.943,60,26.5906,14
2026,Alabama A&M,67.3707,229,65.2286,288,105.152,248,103.849,269,109.494,205,116.382,309,-12.533,302
2026,Alabama St.,71.3165,47,69.3087,73,101.245,311,101.465,311,110.001,219,114.359,274,-12.8942,308
2026,Albany,65.7393,309,65.1762,293,105.28,244,103.841,270,112.856,289,118.217,329,-14.3755,320
2026,Alcorn St.,69.4885,126,67.0112,193,97.0051,344,98.8275,337,116.595,339,117.944,327,-19.1164,342
2026,American,66.9035,255,66.7076,217,107.753,192,105.251,251,108.179,173,111.706,223,-6.45447,240
2026,Appalachian St.,63.9194,355,62.8032,357,107.673,196,106.143,235,104.099,80,107.672,134,-1.52906,185
2026,Arizona,71.9717,29,70.065,40,120.319,18,126.818,8,94.9698,3,89.6871,3,37.1308,3
2026,Arizona St.,70.5134,81,68.72,106,110.528,126,117.367,60,110.768,245,104.913,90,12.4545,66
2026,Arkansas,72.6222,18,70.8133,23,122.749,5,127.968,5,108.836,187,102.488,49,25.4799,20
2026,Arkansas Pine Bluff,71.3875,43,68.7594,104,102.751,290,103.099,287,115.6,326,118.025,328,-14.9258,324
2026,Arkansas St.,72.6908,16,72.187,9,111.324,110,111.13,140,106.067,115,109.425,174,1.70527,143
2026,Army,67.2779,234,67.0033,194,103.802,277,101.199,314,115.791,329,119.37,343,-18.1715,336
2026,Auburn,69.3111,137,67.0916,187,119.064,30,125.648,12,114.398,316,106.919,123,18.7286,39
2026,Austin Peay,70.2907,88,69.5024,62,113.15,84,108.479,181,105.896,109,108.349,151,0.129816,165
2026,Ball St.,65.321,329,63.4568,346,99.0155,337,98.1055,343,108.888,191,110.687,202,-12.5815,303
2026,Baylor,69.958,102,67.7025,154,115.657,60,122.37,27,111.128,254,106.894,122,15.4762,51
2026,Bellarmine,66.3308,289,64.5746,321,118.201,39,116.384,76,124.376,364,125.768,365,-9.38347,275
2026,Belmont,70.1764,92,68.9041,98,119.065,29,121.218,36,103.367,64,106.777,119,14.4412,55
2026,Bethune Cookman,71.0756,52,69.1028,85,103.892,276,103.648,276,107.454,153,109.302,170,-5.65396,231
2026,Binghamton,65.1072,333,65.2056,291,100.464,319,97.7692,346,115.158,321,123.157,360,-25.3873,359
